Rk,Season,Conf, Overall W, Overall L, OverallW-L%, Conf W, Conf L, Conf W-L%,SRS,SOS,PS/G,PA/G,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
105,1921-22,Southern,15,6,0.714,3,3,0.5,,,,,,,,,,Fred Boye (15-6)
106,1920-21,Ind,12,8,0.6,,,,,,,,,,,,,Fred Boye (12-8)
107,1919-20,Ind,8,9,0.471,,,,,,,,,,,,,Fred Boye (8-9)
108,1918-19,Ind,9,7,0.563,,,,,,,,,,,,,Howell Peacock (9-7)
109,1917-18,Ind,9,3,0.75,,,,,,,,,,,,,Howell Peacock (9-3)
110,1916-17,Ind,5,4,0.556,,,,,,,,,,,,,Howell Peacock (5-4)
111,1915-16,Ind,12,6,0.667,,,,,,,,,,,,,Chick Doak (12-6)
112,1914-15,Ind,6,10,0.375,,,,,,,,,,,,,Chick Doak (6-10)
113,1913-14,Ind,10,8,0.556,,,,,,,,,,,,,Nat Cartmell (10-8)
114,1912-13,Ind,4,7,0.364,,,,,,,,,,,,,Nat Cartmell (4-7)
115,1911-12,Ind,4,5,0.444,,,,,,,,,,,,,Nat Cartmell (4-5)
116,1910-11,Ind,7,4,0.636,,,,,,,,,,,,,Nat Cartmell (7-4)
